original_air_year,us_viewers_in_millions,season,imdb_rating
1991,21.0,2,8.4
1991,22.9,3,8.6
1991,22.8,3,8.2
1991,20.6,3,8.5
1993,20.1,4,8.1
1993,23.8,4,8.1
1993,24.0,5,8.7
1993,23.0,4,9.0
1993,25.2,4,8.3
1993,20.6,5,8.4
1992,23.4,3,7.7
1991,20.0,3,8.2
1991,23.0,3,7.9
1992,22.9,4,7.8
1991,21.9,3,8.2
1993,22.4,4,9.0
1992,23.2,3,8.0
1992,17.5,3,7.7
1993,19.5,5,8.9
1992,23.7,3,8.0
1992,24.6,3,8.6
1993,20.0,4,8.1
1992,19.0,4,7.8
1993,19.4,4,8.2
1992,17.3,3,8.2
1992,18.3,4,8.1
1992,25.1,4,8.4
1992,24.0,4,8.8
1994,21.8,5,8.3
1994,18.0,5,8.5
1994,14.7,5,8.4
1995,14.2,7,8.0
1994,14.1,6,8.0
1996,12.9,7,8.2
1995,18.7,6,8.6
1995,14.5,7,8.3
1996,14.4,7,7.7
1995,15.1,6,8.5
1995,17.0,7,9.0
1994,15.6,5,8.0
1994,16.7,6,8.1
1995,14.4,6,8.5
1995,14.4,6,8.3
1994,13.5,6,6.0
1995,14.6,7,8.5
1995,11.8,6,8.1
1994,14.4,6,8.3
1994,15.3,6,8.0
1995,16.0,7,8.9
1995,12.7,6,8.2
1996,14.1,7,8.9
1994,17.0,6,9.0
1995,20.1,6,8.9
1995,16.4,7,7.5
1996,16.5,7,8.7
1996,13.4,7,8.1
1995,15.3,7,8.5
1996,13.0,7,8.3
1996,12.9,7,8.0
1997,12.9,9,8.1
1997,17.7,8,7.7
1996,18.3,8,8.3
1997,15.1,8,8.2
1996,17.0,8,8.0
1996,14.1,8,8.2
1998,7.6,9,7.7
1998,8.5,9,7.9
1997,10.6,9,7.5
1997,14.0,8,7.9
1996,12.8,8,8.0
1997,15.1,8,8.1
1998,9.5,9,7.5
1997,10.3,9,8.2
1997,13.3,8,8.2
1996,,8,8.8
1998,9.0,9,8.3
1997,11.6,8,7.3
1997,10.5,9,9.1
1997,9.6,9,7.6
1998,9.2,9,8.3
1998,9.6,9,8.1
1998,7.0,10,7.6
1998,11.7,9,7.7
1998,10.4,9,8.0
1996,14.4,7,8.0
1998,9.0,10,7.3
1998,8.0,10,8.0
1998,7.2,10,7.3
2000,14.9,12,7.2
1999,11.5,10,6.9
1999,15.5,10,7.6
1999,9.2,11,7.3
1999,12.2,10,7.3
2001,14.0,12,6.9
1999,11.5,10,7.8
1999,8.7,11,7.7
2000,7.3,11,7.2
1999,7.1,11,7.5
1999,6.9,10,7.3
2000,8.77,11,7.0
1999,8.1,11,7.3
1999,6.8,10,7.3
1999,8.3,10,7.7
1999,8.9,11,7.1
2000,10.0,11,7.3
